airport code,time zone
BFL,Pacific Standard Time
BFM,Central Standard Time
BFN,South Africa Standard Time
BFO,South Africa Standard Time
BFP,Eastern Standard Time
BFQ,SA Pacific Standard Time
BFR,US Eastern Standard Time
BFS,GMT Standard Time
BFT,Eastern Standard Time
BFU,China Standard Time
BFV,SE Asia Standard Time
BFW,W. Central Africa Standard Time
BFX,W. Central Africa Standard Time
BGA,SA Pacific Standard Time
BGB,W. Central Africa Standard Time
BGC,GMT Standard Time
BGD,Central Standard Time
BGE,Eastern Standard Time
BGF,W. Central Africa Standard Time
BGG,Turkey Standard Time
BGH,Greenwich Standard Time
BGI,SA Western Standard Time
BGJ,Greenwich Standard Time
BGK,Central America Standard Time
BGL,Nepal Standard Time
BGM,Eastern Standard Time
BGN,Russia Time Zone 10
BGO,W. Europe Standard Time
BGQ,Alaskan Standard Time
BGR,Eastern Standard Time
BGT,US Mountain Standard Time
BGU,W. Central Africa Standard Time
BGV,E. South America Standard Time
BGW,Arabic Standard Time
BGX,E. South America Standard Time
BGY,W. Europe Standard Time
BGZ,GMT Standard Time
BHA,SA Pacific Standard Time
BHB,Eastern Standard Time
BHC,Pakistan Standard Time
BHD,GMT Standard Time
BHE,New Zealand Standard Time
BHF,SA Pacific Standard Time
BHG,Central America Standard Time
BHH,Arab Standard Time
BHI,Argentina Standard Time
BHJ,India Standard Time
BHK,West Asia Standard Time
BHL,Pacific Standard Time (Mexico)
BHM,Central Standard Time
BHN,Arab Standard Time
BHO,India Standard Time
BHP,Nepal Standard Time
BHQ,Cen. Australia Standard Time
BHR,Nepal Standard Time
BHS,AUS Eastern Standard Time
BHT,E. Australia Standard Time
BHU,India Standard Time
BHV,Pakistan Standard Time
BHW,Pakistan Standard Time
BHX,GMT Standard Time
BHY,China Standard Time
BIA,Romance Standard Time
BIB,E. Africa Standard Time
BIC,Romance Standard Time
BID,Eastern Standard Time
BIE,Central Standard Time
BIF,Mountain Standard Time
BIG,Alaskan Standard Time
BIH,Pacific Standard Time
BII,UTC+12
BIK,Tokyo Standard Time
BIL,Mountain Standard Time
BIM,Eastern Standard Time
BIN,Afghanistan Standard Time
BIO,Romance Standard Time
BIP,E. Australia Standard Time
BIQ,Romance Standard Time
BIR,Nepal Standard Time
BIS,Central Standard Time
BIT,Nepal Standard Time
BIU,Greenwich Standard Time
BIV,W. Central Africa Standard Time
BIW,W. Australia Standard Time
BIX,Central Standard Time
BIY,South Africa Standard Time
BJA,W. Central Africa Standard Time
BJB,Iran Standard Time
BJC,Mountain Standard Time
BJD,Greenwich Standard Time
BJE,Sudan Standard Time
BJF,W. Europe Standard Time
BJG,Singapore Standard Time
BJH,Nepal Standard Time
BJI,Central Standard Time
BJJ,Eastern Standard Time
BJK,Tokyo Standard Time
BJL,Greenwich Standard Time
BJM,South Africa Standard Time
BJO,Argentina Standard Time
BJP,E. South America Standard Time
BJQ,Arabian Standard Time
BJR,E. Africa Standard Time
BJT,Sri Lanka Standard Time
BJU,Nepal Standard Time
BJV,Turkey Standard Time
BJW,Singapore Standard Time
BJX,Central Standard Time (Mexico)
BJY,Central Europe Standard Time
BJZ,Romance Standard Time
BKB,India Standard Time
BKC,Alaskan Standard Time
BKD,Central Standard Time
BKE,Pacific Standard Time
BKF,Alaskan Standard Time
BKG,Central Standard Time
BKH,Hawaiian Standard Time
BKI,Singapore Standard Time
BKJ,Greenwich Standard Time
BKK,SE Asia Standard Time
BKL,Eastern Standard Time
BKM,Singapore Standard Time
BKN,West Asia Standard Time
BKO,Greenwich Standard Time
BKP,E. Australia Standard Time
BKQ,E. Australia Standard Time
BKR,W. Central Africa Standard Time
BKS,SE Asia Standard Time
BKT,Eastern Standard Time
BKU,E. Africa Standard Time
BKW,Eastern Standard Time
BKX,Central Standard Time
BKY,South Africa Standard Time
BKZ,E. Africa Standard Time
BLA,Venezuela Standard Time
BLB,SA Pacific Standard Time
BLC,W. Central Africa Standard Time
BLD,Pacific Standard Time
BLE,W. Europe Standard Time
BLF,Eastern Standard Time
BLG,Singapore Standard Time
BLH,Pacific Standard Time
BLI,Pacific Standard Time
BLJ,W. Central Africa Standard Time
BLK,GMT Standard Time
BLL,Romance Standard Time
BLM,Eastern Standard Time
BLN,AUS Eastern Standard Time
BLO,Greenwich Standard Time
BLP,SA Pacific Standard Time
BLQ,W. Europe Standard Time
BLR,India Standard Time
BLS,E. Australia Standard Time
BLT,E. Australia Standard Time
BLU,Pacific Standard Time
BLV,Central Standard Time
BLW,E. Africa Standard Time
BLX,W. Europe Standard Time
BLY,GMT Standard Time
BLZ,South Africa Standard Time
BMA,W. Europe Standard Time
BMB,W. Central Africa Standard Time
BMC,Mountain Standard Time
BMD,E. Africa Standard Time
BME,W. Australia Standard Time
BMF,W. Central Africa Standard Time
BMG,US Eastern Standard Time
BMH,West Pacific Standard Time
BMI,Central Standard Time
BMJ,SA Western Standard Time
BMK,W. Europe Standard Time
BML,Eastern Standard Time
BMM,W. Central Africa Standard Time
BMN,Arabic Standard Time
BMO,Myanmar Standard Time
BMP,E. Australia Standard Time
BMQ,E. Africa Standard Time
BMR,W. Europe Standard Time
BMS,Bahia Standard Time
BMT,Central Standard Time
BMU,Singapore Standard Time
BMV,SE Asia Standard Time
BMW,W. Central Africa Standard Time
BMX,Alaskan Standard Time
BMY,Central Pacific Standard Time
BMZ,West Pacific Standard Time
BNA,Central Standard Time
BNB,W. Central Africa Standard Time
BNC,South Africa Standard Time
BND,Iran Standard Time
BNE,E. Australia Standard Time
BNF,Alaskan Standard Time
BNG,Pacific Standard Time
BNH,Eastern Standard Time
BNI,W. Central Africa Standard Time
BNJ,W. Europe Standard Time
BNK,AUS Eastern Standard Time
BNL,Eastern Standard Time
BNM,West Pacific Standard Time
BNN,W. Europe Standard Time
BNO,Pacific Standard Time
BNP,Pakistan Standard Time
BNR,Greenwich Standard Time
BNS,Venezuela Standard Time
BNT,West Pacific Standard Time
BNU,E. South America Standard Time
BNW,Central Standard Time
BNX,Central European Standard Time
BNY,Central Pacific Standard Time
BOA,W. Central Africa Standard Time
BOB,Hawaiian Standard Time
BOC,SA Pacific Standard Time
BOD,Romance Standard Time
BOE,W. Central Africa Standard Time
BOF,Eastern Standard Time
BOG,SA Pacific Standard Time
BOH,GMT Standard Time
BOI,Mountain Standard Time
BOJ,FLE Standard Time
BOK,Pacific Standard Time
BOM,India Standard Time
BON,SA Western Standard Time
BOO,W. Europe Standard Time
BOP,W. Central Africa Standard Time
BOS,Eastern Standard Time
BOT,West Pacific Standard Time
BOU,Romance Standard Time
BOV,West Pacific Standard Time
BOW,Eastern Standard Time
BOX,AUS Central Standard Time
BOY,Greenwich Standard Time
BOZ,W. Central Africa Standard Time
BPC,W. Central Africa Standard Time
BPD,West Pacific Standard Time
BPE,China Standard Time
BPF,Central Pacific Standard Time
BPG,Central Brazilian Standard Time
BPH,Singapore Standard Time
BPI,Mountain Standard Time
BPK,West Pacific Standard Time
BPL,China Standard Time
BPM,India Standard Time
BPN,Singapore Standard Time
BPS,Bahia Standard Time
BPT,Central Standard Time
BPX,China Standard Time
BPY,E. Africa Standard Time
BQA,Singapore Standard Time
BQB,W. Australia Standard Time
BQD,Greenwich Standard Time
BQE,Greenwich Standard Time
BQG,Vladivostok Standard Time
BQH,GMT Standard Time
BQI,Namibia Standard Time
BQJ,Vladivostok Standard Time
BQK,Eastern Standard Time
BQL,E. Australia Standard Time
BQN,SA Western Standard Time
BQO,Greenwich Standard Time
BQQ,Bahia Standard Time
BQS,Yakutsk Standard Time
BQT,Belarus Standard Time
BQU,SA Western Standard Time
BQV,Alaskan Standard Time
BQW,W. Australia Standard Time
BRA,Bahia Standard Time
BRB,SA Eastern Standard Time
BRC,Argentina Standard Time
BRD,Central Standard Time
BRE,W. Europe Standard Time
BRI,W. Europe Standard Time
BRK,AUS Eastern Standard Time
BRL,Central Standard Time
BRM,Venezuela Standard Time
BRN,W. Europe Standard Time
BRO,Central Standard Time
BRP,West Pacific Standard Time
BRQ,Central Europe Standard Time
BRR,GMT Standard Time
BRS,GMT Standard Time
BRT,AUS Central Standard Time
BRU,Romance Standard Time
BRW,Alaskan Standard Time
BRX,SA Western Standard Time
BRY,Eastern Standard Time
BSA,E. Africa Standard Time
BSB,E. South America Standard Time
BSC,SA Pacific Standard Time
BSD,China Standard Time
BSE,Singapore Standard Time
BSF,Hawaiian Standard Time
BSG,W. Central Africa Standard Time
BSI,Singapore Standard Time
BSJ,AUS Eastern Standard Time
BSK,W. Central Africa Standard Time
BSL,Romance Standard Time
BSM,Iran Standard Time
BSN,W. Central Africa Standard Time
BSO,Singapore Standard Time
BSP,West Pacific Standard Time
BSQ,US Mountain Standard Time
BSR,Arabic Standard Time
BSS,SA Eastern Standard Time
BST,Afghanistan Standard Time
BSU,W. Central Africa Standard Time
BSV,E. Africa Standard Time
